Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Patrick Soko,SD Huesca,2ª División,01/07/2022,30/06/2025,31/10/1997 (26),Douala,Camerún,"1,76 m",Extremo derecho,Camerún,0,0,700 mil €,14/10/2024,Derecho,Sports&Life,Proveedor no encontrado
Iker Unzueta,SD Huesca,2ª División,28/08/2024,30/06/2026,04/08/1998 (26),Abadiño,España,"1,84 m",Delantero centro,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,500 mil €,14/10/2024,Derecho,Emartsoccer,Proveedor no encontrado
Sergi Enrich,SD Huesca,2ª División,15/08/2024,30/06/2025,26/02/1990 (34),Ciutadella de ...,España,"1,83 m",Delantero centro,Selección no encontrada,2,0,300 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
Dani Martín,CD Eldense,2ª División,15/07/2024,30/06/2025,08/07/1998 (26),Gijón,España,"1,87 m",Portero,Selección no encontrada,3,0,600 mil €,14/10/2024,Derecho,Bahía Internacional,Proveedor no encontrado
Ian Mackay,CD Eldense,2ª División,Fecha de fichaje no encontrada,Contrato no encontrado,14/07/1986 (38),Lugar de nacimiento no encontrado,España,"1,81 m",Portero,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,100 mil €,24/06/2024,Derecho,Emartsoccer,Proveedor no encontrado
Dario Dumic,CD Eldense,2ª División,10/08/2023,30/06/2025,30/01/1992 (32),Sarajevo,Bosnia y Herzegovina,"1,93 m",Defensa central,Selección no encontrada,5,1,500 mil €,24/06/2024,Derecho,People In Sport,Proveedor no encontrado
Piña,CD Eldense,2ª División,18/07/2023,30/06/2025,30/10/1994 (29),Murchante (Navarra),España,"1,88 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,300 mil €,24/06/2024,Derecho,JV SPORTS,Proveedor no encontrado
Nacho Monsalve,CD Eldense,2ª División,04/01/2024,30/06/2025,27/04/1994 (30),Madrid,España,"1,88 m",Defensa central,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,200 mil €,24/06/2024,Ambidiestro,MESAS SPORT,Proveedor no encontrado
Ricardo Grigore,CD Eldense,2ª División,07/08/2024,30/06/2025,07/04/1999 (25),Bukarest,Rumania,"1,92 m",Defensa central,Selección no encontrada,2,0,200 mil €,05/06/2024,Izquierdo,Nono lora,Proveedor no encontrado
Marc Mateu,CD Eldense,2ª División,25/07/2023,30/06/2025,16/06/1990 (34),Valencia,España,"1,80 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,700 mil €,24/06/2024,Izquierdo,Sports and ...,Proveedor no encontrado
